trip_id,vendor_id,rate_code_id,pickup_location_id,dropoff_location_id,pickup_datetime,dropoff_datetime,passenger_count,trip_type,payment_type,taxi_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,ehail_fee,payment_name
5975bb43f6f06bf562b80386f7b6e328,2,1,129,129,2019-01-01T07:13:26Z,2019-01-01T07:18:30Z,2,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
5c8061cd6e6b42114d2edb1d06190ff1,2,1,42,74,2019-01-01T16:44:55Z,2019-01-01T16:50:36Z,1,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
860d83dedb7972291e9a6e8f608c7333,2,1,7,260,2019-01-01T15:46:09Z,2019-01-01T15:51:13Z,1,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
ab075703e745bd48cf94397bb550db51,2,1,42,41,2019-01-01T15:27:48Z,2019-01-01T15:32:33Z,1,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
156b9a00b8fc25bde087f25662c13c61,2,6,134,134,2019-01-01T01:17:22Z,2019-01-01T01:18:30Z,1,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
40bf5b415b0d2ce1c02ebc683270385b,2,1,75,263,2019-01-01T11:42:43Z,2019-01-01T11:46:40Z,1,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
6e374ebf2db7887907dd4180388daa2b,2,1,260,82,2019-01-01T08:10:40Z,2019-01-01T08:16:48Z,1,1,2,Green,5.5,0.0,0.5,0.0,0.0,0.3,6.3,,Cash
feb01138b584d7fe00ba1e0beeb85846,2,1,7,193,2019-01-01T21:43:01Z,2019-01-01T21:47:41Z,1,1,2,Green,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,Cash
0331acd0208b13324ada316d284aff50,2,1,226,260,2019-01-01T02:36:23Z,2019-01-01T02:41:42Z,1,1,2,Green,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,Cash
5393dc89b1423c420700f143d694602b,2,1,41,74,2019-01-01T21:06:24Z,2019-01-01T21:10:35Z,1,1,2,Green,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,Cash
